"ID","IdadeResponsavel","RendaAntes","RendaMensal","NumeroFilhos","Vulneravel","EvasaoEscolar","TemInternet","SexoResponsavel","Regiao"
2283,27,1575.96,1800,1,"Não","Não","Sim","Feminino","Urbana"
2284,28,1256.6,1400,1,"Não","Não","Sim","Masculino","Urbana"
2285,57,2017.42,2200,3,"Não","Não","Sim","Feminino","Urbana"
2286,52,1298.73,1400,1,"Sim","Sim","Não","Feminino","Urbana"
2287,33,1634.04,1800,0,"Não","Não","Sim","Masculino","Rural"
2288,57,1629.33,1800,2,"Sim","Sim","Não","Feminino","Urbana"
2289,35,409.78,600,6,"Sim","Sim","Não","Feminino","Rural"
2290,50,1884.1,2100,0,"Sim","Sim","Sim","Feminino","Urbana"
2291,54,1763.22,2000,2,"Não","Não","Sim","Masculino","Urbana"
2292,53,703.26,900,2,"Sim","Não","Sim","Feminino","Urbana"
2293,53,1700.5,1900,2,"Não","Não","Não","Masculino","Urbana"
2294,37,2392.43,2600,1,"Sim","Sim","Não","Feminino","Urbana"
2295,35,2257.02,2400,3,"Não","Não","Não","Masculino","Urbana"
2296,53,2178.72,2400,2,"Não","Não","Sim","Masculino","Urbana"
2297,39,1572.94,1800,1,"Não","Não","Não","Feminino","Urbana"
2298,33,1648.22,1900,2,"Não","Não","Sim","Feminino","Urbana"
2299,30,3005.98,3200,2,"Não","Não","Sim","Feminino","Urbana"
2300,53,1163.64,1400,3,"Sim","Não","Sim","Feminino","Urbana"
2301,48,1045.52,1200,3,"Sim","Não","Sim","Feminino","Rural"
2302,55,2024.67,2200,1,"Não","Não","Sim","Masculino","Urbana"
2303,34,1863.01,2100,1,"Não","Não","Sim","Feminino","Urbana"
2304,43,1330.29,1600,0,"Não","Não","Sim","Feminino","Urbana"
2305,29,761.11,1000,0,"Não","Não","Sim","Masculino","Urbana"
2306,41,1548.97,1700,1,"Sim","Não","Sim","Feminino","Urbana"
2307,32,2670.98,2900,3,"Sim","Sim","Não","Masculino","Urbana"
2308,44,2395.85,2500,0,"Sim","Sim","Não","Masculino","Urbana"
2309,40,1793.85,2000,1,"Não","Não","Sim","Feminino","Urbana"
2310,54,1382.69,1500,1,"Não","Não","Sim","Feminino","Rural"
2311,43,875.62,1100,3,"Sim","Não","Sim","Feminino","Urbana"
2312,36,1542.8,1800,1,"Não","Não","Sim","Feminino","Urbana"
2313,23,1602.96,1800,3,"Não","Não","Não","Masculino","Urbana"
2314,35,2067.46,2300,1,"Sim","Não","Não","Feminino","Urbana"
2315,34,2523.44,2800,1,"Sim","Sim","Não","Feminino","Urbana"
2316,51,1985.97,2200,1,"Não","Não","Sim","Feminino","Urbana"
2317,45,1879.73,2100,2,"Sim","Sim","Não","Feminino","Urbana"
2318,34,2279.74,2400,1,"Não","Não","Não","Masculino","Rural"
2319,42,668.72,900,3,"Sim","Não","Sim","Feminino","Urbana"
2320,41,3455.37,3600,2,"Não","Não","Sim","Masculino","Rural"
2321,43,852.22,1100,2,"Sim","Não","Sim","Feminino","Rural"
2322,37,1257.36,1400,5,"Sim","Não","Não","Feminino","Urbana"
2323,52,2765.01,2900,0,"Não","Não","Não","Feminino","Urbana"
2324,53,1045.65,1200,2,"Sim","Sim","Não","Masculino","Urbana"
2325,28,258.27,400,6,"Sim","Não","Não","Feminino","Urbana"
2326,50,1122.29,1500,1,"Não","Não","Sim","Masculino","Urbana"
2327,33,1841.69,2000,0,"Sim","Sim","Não","Masculino","Rural"
2328,42,2314.72,2500,4,"Sim","Sim","Não","Feminino","Urbana"
2329,50,529.63,700,1,"Não","Sim","Não","Masculino","Urbana"
2330,45,1737.88,2000,2,"Sim","Sim","Não","Feminino","Urbana"
2331,40,2266.93,2500,1,"Não","Não","Sim","Masculino","Urbana"
2332,41,1334.31,1500,2,"Não","Não","Sim","Feminino","Rural"
2333,63,1461.55,1700,0,"Não","Não","Sim","Masculino","Urbana"
2334,54,1375.32,1600,3,"Não","Não","Sim","Masculino","Urbana"
2335,40,1032.38,1300,0,"Sim","Sim","Sim","Feminino","Urbana"
2336,37,692.88,1000,3,"Sim","Sim","Sim","Feminino","Urbana"
2337,58,1802.69,1900,1,"Não","Não","Sim","Feminino","Urbana"
2338,41,1953.38,2200,0,"Não","Não","Sim","Feminino","Rural"
2339,44,1447.25,1600,0,"Sim","Não","Não","Feminino","Urbana"
2340,53,2387.05,2600,5,"Sim","Sim","Sim","Feminino","Rural"
2341,34,1652.15,1900,2,"Sim","Não","Não","Feminino","Urbana"
2342,36,905.76,1100,2,"Sim","Sim","Não","Feminino","Rural"
2343,36,2812.7,2900,2,"Não","Não","Sim","Feminino","Urbana"
2344,42,801.79,1000,2,"Sim","Sim","Sim","Feminino","Rural"
2345,16,1693.19,1900,1,"Não","Não","Não","Masculino","Rural"
2346,36,971.27,1200,3,"Sim","Não","Não","Feminino","Rural"
2347,47,1862.41,2000,2,"Não","Não","Não","Feminino","Urbana"
2348,43,1406.75,1600,1,"Não","Sim","Sim","Masculino","Rural"
2349,44,948.75,1100,3,"Sim","Não","Não","Feminino","Urbana"
2350,24,1297.91,1400,1,"Sim","Sim","Não","Feminino","Urbana"
2351,42,3159.2,3400,3,"Não","Não","Sim","Feminino","Urbana"
2352,39,1939.06,2100,1,"Não","Não","Sim","Feminino","Urbana"
2353,40,1004.44,1200,1,"Não","Não","Sim","Feminino","Rural"
2354,49,1359.87,1500,1,"Sim","Sim","Sim","Masculino","Urbana"
2355,54,1064.82,1300,0,"Não","Não","Sim","Masculino","Urbana"
2356,37,1246.22,1500,4,"Não","Não","Sim","Feminino","Rural"
2357,34,880.37,1100,2,"Sim","Sim","Não","Feminino","Urbana"
2358,38,2129.41,2300,1,"Não","Não","Sim","Feminino","Urbana"
2359,48,2133.18,2300,1,"Não","Não","Sim","Feminino","Urbana"
2360,39,2110.93,2400,1,"Não","Não","Sim","Feminino","Urbana"
2361,36,3506.08,3700,1,"Não","Não","Sim","Feminino","Urbana"
2362,39,1233.76,1400,3,"Sim","Não","Não","Feminino","Urbana"
2363,54,614,800,0,"Não","Não","Sim","Masculino","Urbana"
2364,31,2204.32,2400,3,"Não","Sim","Sim","Feminino","Urbana"
2365,37,2122.71,2300,1,"Não","Não","Sim","Feminino","Urbana"
2366,29,1668.93,1900,2,"Não","Não","Sim","Feminino","Rural"
2367,62,1497.12,1700,1,"Não","Não","Sim","Feminino","Urbana"
2368,35,1008.35,1200,2,"Sim","Não","Sim","Feminino","Rural"
2369,49,1680.8,1800,0,"Não","Não","Sim","Feminino","Urbana"
2370,40,1361.57,1500,2,"Não","Não","Sim","Masculino","Urbana"
2371,38,3410.19,3600,0,"Não","Não","Não","Masculino","Urbana"
2372,36,2393.09,2600,3,"Sim","Não","Não","Feminino","Rural"
2373,32,2003.65,2200,2,"Não","Não","Sim","Feminino","Urbana"
2374,53,2305.89,2500,1,"Sim","Sim","Não","Feminino","Urbana"
2375,46,515.58,700,2,"Sim","Não","Sim","Feminino","Urbana"
2376,40,1185.57,1500,1,"Sim","Não","Não","Masculino","Urbana"
2377,29,2424.18,2600,2,"Não","Sim","Não","Feminino","Urbana"
2378,35,1754.28,2000,0,"Sim","Sim","Não","Feminino","Urbana"
2379,50,1063.75,1200,1,"Sim","Não","Sim","Feminino","Rural"
2380,30,2527.79,2700,1,"Não","Não","Sim","Feminino","Urbana"
2381,34,954.85,1200,2,"Sim","Sim","Não","Feminino","Urbana"
2382,48,3102.06,3400,2,"Não","Não","Sim","Feminino","Urbana"
2383,44,1376.17,1700,2,"Não","Não","Sim","Feminino","Urbana"
2384,34,341.29,519.42,2,"Sim","Não","Não","Masculino","Urbana"
2385,57,1877.82,2100,5,"Sim","Sim","Não","Masculino","Urbana"
2386,28,1340.9,1500,2,"Não","Sim","Sim","Feminino","Urbana"
2387,54,1450.76,1700,4,"Sim","Não","Não","Feminino","Urbana"
2388,48,2011.86,2200,3,"Não","Não","Sim","Feminino","Urbana"
2389,19,2091.34,2400,1,"Não","Não","Sim","Masculino","Urbana"
2390,43,2856.27,3000,3,"Não","Não","Sim","Feminino","Rural"
2391,48,1591.25,1800,2,"Não","Não","Sim","Feminino","Urbana"
2392,32,224.56,200,4,"Sim","Não","Sim","Feminino","Rural"
2393,40,3023.39,3200,3,"Não","Não","Sim","Feminino","Urbana"
2394,24,1102.66,1300,1,"Não","Não","Sim","Feminino","Urbana"
2395,31,1346.17,1600,2,"Não","Não","Sim","Feminino","Urbana"
2396,41,738.68,900,2,"Sim","Não","Não","Feminino","Urbana"
2397,43,2456.65,2700,2,"Não","Não","Sim","Masculino","Rural"
2398,39,1366.14,1600,2,"Sim","Sim","Não","Feminino","Urbana"
2399,32,833.36,1000,1,"Não","Não","Sim","Masculino","Urbana"
2400,46,900.82,1100,1,"Não","Não","Sim","Feminino","Urbana"
2401,53,2098.3,2400,3,"Não","Não","Sim","Feminino","Urbana"
2402,34,1752.31,1900,0,"Não","Não","Não","Masculino","Urbana"
2403,41,1863.47,2100,0,"Sim","Não","Sim","Feminino","Urbana"
2404,35,1592.56,1800,1,"Não","Não","Sim","Masculino","Urbana"
2405,39,1850.01,2100,2,"Não","Não","Sim","Feminino","Urbana"
2406,42,1583.14,1800,0,"Sim","Sim","Não","Masculino","Urbana"
2407,39,13.94,200,3,"Sim","Sim","Sim","Feminino","Rural"
2408,36,1165.98,1400,2,"Sim","Não","Não","Feminino","Urbana"
2409,35,1717.61,1900,3,"Não","Não","Sim","Masculino","Urbana"
2410,40,2081.65,2300,0,"Não","Não","Sim","Feminino","Urbana"
2411,38,2177.95,2400,2,"Não","Não","Sim","Feminino","Urbana"
2412,35,1560.46,1800,2,"Não","Não","Sim","Feminino","Urbana"
2413,44,1108.87,1300,1,"Não","Não","Sim","Feminino","Urbana"
2414,44,3109.44,3300,1,"Sim","Não","Sim","Masculino","Urbana"
2415,42,1372.71,1600,1,"Não","Não","Sim","Masculino","Urbana"
2416,29,1941.65,2100,1,"Não","Não","Sim","Feminino","Urbana"
2417,44,1390.91,1600,1,"Não","Não","Não","Feminino","Urbana"
2418,44,2196.23,2400,1,"Sim","Não","Não","Feminino","Rural"
2419,37,2198.31,2400,4,"Não","Sim","Sim","Feminino","Urbana"
2420,46,765.02,1000,1,"Não","Não","Sim","Masculino","Urbana"
2421,53,1580.13,1800,2,"Sim","Não","Não","Masculino","Rural"
2422,43,1800.71,2000,2,"Não","Não","Sim","Feminino","Rural"
2423,48,1142.66,1300,0,"Não","Sim","Não","Feminino","Urbana"
2424,53,1438.52,1600,2,"Não","Não","Sim","Masculino","Urbana"
2425,57,1110.47,1300,6,"Sim","Sim","Não","Feminino","Urbana"
2426,35,858.67,1100,5,"Sim","Sim","Sim","Feminino","Rural"
2427,36,1575.95,1800,1,"Não","Não","Sim","Feminino","Urbana"
2428,37,2449.46,2600,1,"Não","Não","Não","Masculino","Urbana"
2429,51,975.21,1200,6,"Sim","Não","Não","Feminino","Urbana"
2430,46,1032.4,1200,2,"Sim","Não","Sim","Feminino","Urbana"
2431,50,3143.45,3400,2,"Sim","Não","Sim","Feminino","Urbana"
2432,43,1084.82,1300,3,"Sim","Sim","Sim","Feminino","Urbana"
2433,37,1791.23,2000,3,"Sim","Sim","Não","Feminino","Urbana"
2434,25,792.4,1000,2,"Sim","Sim","Não","Feminino","Rural"
2435,23,2363.25,2500,2,"Não","Não","Sim","Masculino","Urbana"
2436,60,1934.83,2100,3,"Não","Não","Não","Feminino","Rural"
2437,40,2102.14,2300,2,"Não","Sim","Sim","Feminino","Urbana"
2438,46,1457.12,1600,2,"Não","Não","Sim","Feminino","Urbana"
2439,47,322.86,0,3,"Sim","Não","Sim","Feminino","Urbana"
2440,54,2103.09,2200,2,"Não","Não","Sim","Feminino","Urbana"
2441,46,2740.48,2900,2,"Sim","Sim","Não","Masculino","Urbana"
2442,40,1379.37,1600,1,"Não","Não","Sim","Feminino","Urbana"
2443,47,2140.51,2300,0,"Não","Não","Sim","Masculino","Urbana"
2444,43,988.06,1100,3,"Sim","Não","Sim","Feminino","Urbana"
2445,34,2205.7,2400,3,"Sim","Sim","Não","Masculino","Urbana"
2446,50,1078.13,1300,2,"Sim","Não","Sim","Masculino","Urbana"
2447,42,1286.7,1400,3,"Sim","Não","Sim","Masculino","Rural"
2448,40,1208.73,1300,1,"Não","Não","Não","Masculino","Urbana"
2449,31,1912.94,2100,0,"Não","Não","Não","Feminino","Urbana"
2450,51,1575.29,1800,2,"Não","Não","Sim","Feminino","Urbana"
2451,36,1388.46,1700,2,"Sim","Não","Não","Masculino","Urbana"
2452,39,582.21,800,0,"Sim","Sim","Sim","Feminino","Urbana"
2453,40,1509.68,1600,0,"Sim","Sim","Sim","Feminino","Urbana"
2454,39,1824.59,2000,4,"Sim","Sim","Não","Feminino","Rural"
2455,46,2584.2,2800,0,"Não","Não","Sim","Feminino","Urbana"
2456,49,2232.37,2500,4,"Não","Não","Não","Feminino","Urbana"
2457,45,1986.75,2200,2,"Não","Não","Sim","Feminino","Urbana"
2458,25,1851.34,2100,2,"Sim","Não","Não","Feminino","Urbana"
2459,16,1606.47,1700,2,"Sim","Não","Não","Feminino","Rural"
2460,36,1051.31,1200,4,"Sim","Não","Sim","Masculino","Urbana"
2461,38,1839.47,2000,2,"Não","Não","Sim","Feminino","Urbana"
2462,39,959.16,1200,3,"Sim","Sim","Sim","Feminino","Rural"
2463,26,1548.63,1700,0,"Não","Não","Sim","Masculino","Rural"
2464,33,2722.55,3000,1,"Sim","Não","Não","Feminino","Urbana"
2465,22,654.71,900,2,"Sim","Não","Sim","Feminino","Urbana"
2466,66,1037.43,1200,3,"Sim","Não","Sim","Feminino","Urbana"
2467,45,1924.56,2100,5,"Não","Não","Sim","Feminino","Urbana"
2468,40,2121.06,2400,5,"Não","Não","Sim","Feminino","Rural"
2469,21,778.76,1000,1,"Sim","Não","Não","Masculino","Urbana"
2470,37,2113.35,2300,3,"Não","Não","Sim","Feminino","Urbana"
2471,48,1778.06,2000,4,"Não","Não","Sim","Feminino","Urbana"
2472,48,1996.6,2200,3,"Não","Não","Sim","Masculino","Urbana"
2473,45,2044.26,2200,0,"Não","Não","Sim","Masculino","Urbana"
2474,54,2335.69,2500,0,"Sim","Não","Não","Feminino","Urbana"
2475,22,963.05,1200,1,"Não","Não","Sim","Feminino","Urbana"
2476,29,2592.57,2800,5,"Sim","Não","Sim","Feminino","Urbana"
2477,40,2099.01,2300,1,"Sim","Sim","Não","Masculino","Urbana"
2478,41,2203.3,2400,0,"Não","Não","Sim","Feminino","Urbana"
2479,35,2246.53,2400,1,"Não","Não","Não","Masculino","Rural"
2480,52,1722.96,1900,1,"Não","Não","Sim","Masculino","Urbana"
2481,20,1389.49,1600,5,"Não","Não","Sim","Masculino","Rural"
2482,30,2256.76,2500,4,"Sim","Não","Não","Feminino","Urbana"
2483,56,1216.01,1400,3,"Sim","Sim","Não","Feminino","Urbana"
2484,49,1515.6,1800,3,"Sim","Não","Sim","Feminino","Rural"
2485,25,1951.93,2100,0,"Não","Não","Não","Masculino","Urbana"
2486,48,1395.67,1500,3,"Não","Não","Sim","Feminino","Urbana"
2487,44,3060.85,3200,3,"Sim","Sim","Sim","Feminino","Urbana"
2488,27,1239.02,1500,1,"Não","Não","Não","Feminino","Urbana"
2489,44,2691.51,2900,2,"Não","Não","Sim","Masculino","Urbana"
2490,49,1975.93,2200,0,"Não","Não","Não","Masculino","Urbana"
2491,30,1602.42,1800,2,"Não","Não","Sim","Feminino","Urbana"
2492,45,408.79,600,1,"Não","Não","Sim","Feminino","Rural"
2493,28,727.03,900,1,"Sim","Não","Sim","Masculino","Urbana"
2494,45,2283.07,2400,1,"Não","Não","Sim","Feminino","Rural"
2495,30,1877.97,2000,2,"Não","Não","Sim","Feminino","Rural"
2496,36,304.3,100,0,"Sim","Não","Sim","Feminino","Urbana"
2497,30,1435.94,1600,4,"Não","Não","Sim","Feminino","Rural"
2498,47,1384.34,1500,1,"Sim","Sim","Sim","Feminino","Urbana"
2499,39,775.87,900,2,"Sim","Não","Sim","Feminino","Urbana"
2500,45,1617.99,1900,3,"Não","Não","Sim","Masculino","Urbana"
2501,46,1282.49,1500,1,"Sim","Sim","Não","Feminino","Urbana"
2502,40,911.31,1100,2,"Sim","Sim","Não","Masculino","Urbana"
2503,39,2779.18,2900,2,"Não","Sim","Sim","Feminino","Urbana"
2504,44,1753.53,2000,1,"Não","Não","Sim","Feminino","Urbana"
2505,46,199.78,400,2,"Sim","Sim","Sim","Feminino","Urbana"
2506,40,2209.91,2500,4,"Sim","Não","Não","Feminino","Urbana"
2507,44,1509.53,1600,0,"Sim","Sim","Não","Feminino","Urbana"
2508,48,2271.5,2400,1,"Não","Não","Sim","Masculino","Urbana"
2509,47,1867.48,2100,2,"Não","Não","Sim","Feminino","Urbana"
2510,53,1047.57,1300,1,"Não","Não","Não","Feminino","Urbana"
2511,21,2243.28,2400,5,"Não","Não","Sim","Feminino","Rural"
2512,43,1519.61,1700,0,"Não","Não","Sim","Feminino","Urbana"
2513,42,988.37,1100,4,"Sim","Não","Não","Feminino","Rural"
2514,32,1272.05,1500,2,"Não","Não","Sim","Feminino","Rural"
2515,32,1538.48,1700,4,"Não","Não","Sim","Feminino","Rural"
2516,45,1712.72,1900,0,"Não","Não","Sim","Masculino","Urbana"
2517,36,987.39,1100,0,"Sim","Sim","Não","Masculino","Urbana"
2518,37,2056.53,2300,1,"Não","Não","Não","Masculino","Rural"
2519,45,1583.07,1800,3,"Sim","Sim","Não","Masculino","Rural"
2520,51,1484.43,1700,2,"Sim","Sim","Não","Feminino","Urbana"
2521,61,511.6,700,2,"Sim","Não","Não","Feminino","Urbana"
2522,48,1499.18,1700,2,"Não","Não","Sim","Masculino","Urbana"
2523,60,1745.85,2000,3,"Não","Não","Sim","Feminino","Urbana"
2524,53,1215.11,1400,1,"Não","Não","Sim","Feminino","Urbana"
2525,43,577.44,800,2,"Sim","Não","Sim","Masculino","Urbana"
2526,43,2168.45,2300,2,"Sim","Sim","Não","Masculino","Urbana"
2527,59,1340.8,1600,6,"Sim","Não","Não","Feminino","Urbana"
2528,30,1459.52,1600,0,"Sim","Sim","Sim","Feminino","Urbana"
2529,41,1595.18,1800,3,"Não","Não","Sim","Masculino","Rural"
2530,42,1109.89,1300,2,"Sim","Sim","Não","Feminino","Urbana"
2531,17,2411.47,2600,2,"Não","Não","Sim","Masculino","Urbana"
2532,36,1064.05,1200,2,"Sim","Não","Não","Masculino","Urbana"
2533,43,1611.13,1800,1,"Não","Não","Sim","Feminino","Rural"
2534,12,340.63,500,5,"Sim","Sim","Sim","Feminino","Rural"
2535,44,337.37,500,1,"Não","Não","Sim","Feminino","Urbana"
2536,37,2248.04,2400,3,"Não","Não","Sim","Feminino","Urbana"
2537,44,2378.02,2600,1,"Não","Não","Sim","Masculino","Urbana"
2538,47,2269.32,2400,1,"Não","Não","Sim","Feminino","Urbana"
2539,54,2024.67,2200,2,"Não","Não","Sim","Feminino","Urbana"
2540,23,766.06,1000,0,"Não","Não","Sim","Feminino","Urbana"
2541,40,2160.9,2300,2,"Sim","Não","Sim","Masculino","Urbana"
2542,34,823.11,1000,0,"Não","Não","Sim","Masculino","Urbana"
2543,40,2829.73,3000,4,"Sim","Sim","Não","Feminino","Urbana"
2544,39,2759.27,2900,1,"Não","Não","Sim","Feminino","Urbana"
2545,28,1729.68,2000,2,"Não","Não","Sim","Feminino","Urbana"
2546,22,2120.45,2300,2,"Não","Não","Sim","Feminino","Urbana"
2547,61,1454.51,1600,2,"Não","Não","Sim","Feminino","Urbana"
2548,27,2443.24,2600,4,"Sim","Não","Sim","Masculino","Rural"
2549,43,1316.4,1500,1,"Não","Não","Não","Masculino","Urbana"
2550,29,561.98,700,4,"Sim","Sim","Sim","Feminino","Rural"
2551,55,1251.5,1500,0,"Sim","Não","Não","Feminino","Urbana"
2552,22,2079.11,2300,1,"Não","Não","Sim","Feminino","Urbana"
2553,31,2071.42,2300,3,"Não","Não","Sim","Feminino","Rural"
2554,28,983.82,1100,4,"Sim","Sim","Sim","Feminino","Urbana"
2555,41,2518.92,2700,5,"Não","Não","Sim","Masculino","Urbana"
2556,35,1682.58,1900,4,"Não","Não","Não","Feminino","Urbana"
2557,64,1524.73,1700,4,"Não","Sim","Não","Feminino","Urbana"
2558,40,2423.03,2700,4,"Não","Não","Sim","Feminino","Rural"
2559,53,3289.32,3400,2,"Não","Não","Sim","Feminino","Urbana"
2560,48,2029.16,2200,2,"Sim","Sim","Não","Masculino","Urbana"
2561,47,500.37,600,0,"Não","Não","Sim","Feminino","Urbana"
2562,45,2056.24,2300,1,"Não","Sim","Não","Feminino","Urbana"
2563,43,1236.25,1400,2,"Sim","Sim","Não","Masculino","Rural"
2564,33,1700.98,1900,1,"Não","Não","Sim","Masculino","Rural"
2565,37,841.97,1000,0,"Não","Não","Sim","Masculino","Rural"
2566,45,2034.1,2200,4,"Não","Não","Sim","Masculino","Rural"
2567,15,2295.81,2500,0,"Não","Não","Sim","Masculino","Urbana"
2568,21,1879.68,2000,2,"Não","Não","Sim","Masculino","Rural"
2569,36,2845.66,3100,3,"Sim","Não","Não","Feminino","Rural"
2570,21,375.91,600,1,"Não","Não","Sim","Feminino","Urbana"
2571,41,1754.38,1900,2,"Não","Não","Sim","Feminino","Urbana"
2572,45,1297.95,1500,1,"Sim","Sim","Não","Masculino","Urbana"
2573,49,3058.67,3300,1,"Sim","Sim","Não","Feminino","Urbana"
2574,51,1632.29,1800,2,"Não","Não","Não","Feminino","Rural"
2575,46,1971.89,2100,2,"Sim","Não","Sim","Masculino","Urbana"
2576,45,1525.52,1700,3,"Sim","Não","Sim","Feminino","Urbana"
2577,42,584.16,700,3,"Sim","Não","Sim","Feminino","Urbana"
2578,40,2007.31,2200,2,"Não","Não","Sim","Feminino","Urbana"
2579,32,1060.28,1300,2,"Sim","Não","Sim","Masculino","Rural"
2580,62,1299.85,1500,3,"Não","Não","Sim","Feminino","Urbana"
2581,32,3039.53,3200,2,"Não","Não","Sim","Feminino","Urbana"
2582,57,998.59,1200,2,"Sim","Sim","Não","Feminino","Urbana"
2583,49,1843.57,2000,2,"Sim","Não","Sim","Masculino","Urbana"
2584,60,1509.34,1700,2,"Não","Não","Sim","Masculino","Urbana"
2585,47,1548.79,1800,2,"Não","Não","Sim","Feminino","Urbana"
2586,36,2863.64,3100,2,"Sim","Sim","Não","Feminino","Urbana"
2587,37,1509.25,1700,7,"Sim","Sim","Sim","Feminino","Rural"
2588,26,1567.8,1700,6,"Não","Não","Sim","Masculino","Rural"
2589,50,2797.14,3000,2,"Sim","Sim","Não","Feminino","Rural"
2590,40,2338.33,2600,2,"Não","Não","Sim","Masculino","Urbana"
2591,39,1905.81,2000,0,"Não","Não","Sim","Masculino","Rural"
2592,41,1880.74,2100,1,"Não","Não","Sim","Masculino","Urbana"
2593,34,2095.46,2300,2,"Sim","Sim","Não","Feminino","Urbana"
2594,36,2116.52,2300,3,"Sim","Sim","Não","Masculino","Urbana"
2595,48,2579.02,2800,4,"Sim","Sim","Não","Masculino","Urbana"
2596,53,1276.48,1500,2,"Sim","Sim","Não","Feminino","Urbana"
2597,41,1525.94,1800,1,"Não","Não","Sim","Masculino","Urbana"
2598,42,606.21,800,1,"Sim","Sim","Não","Masculino","Urbana"
2599,42,2498.4,2700,3,"Não","Não","Sim","Feminino","Urbana"
2600,42,2012.73,2200,2,"Não","Não","Sim","Feminino","Urbana"
2601,38,367.05,512.53,1,"Sim","Não","Não","Feminino","Urbana"
2602,46,2058.88,2300,2,"Sim","Não","Sim","Feminino","Urbana"
2603,47,2300.21,2500,2,"Não","Não","Sim","Feminino","Urbana"
2604,42,1978.52,2200,1,"Não","Não","Sim","Feminino","Urbana"
2605,46,2300.57,2500,1,"Não","Não","Não","Masculino","Urbana"
2606,34,1769.14,2000,2,"Não","Não","Sim","Feminino","Rural"
2607,42,1405.64,1600,5,"Não","Não","Sim","Masculino","Rural"
2608,46,1190.89,1400,3,"Sim","Sim","Sim","Feminino","Rural"
2609,39,500.4,600,2,"Sim","Sim","Não","Feminino","Urbana"
2610,39,1796.07,2000,1,"Não","Não","Não","Feminino","Urbana"
2611,35,910.69,1200,4,"Sim","Sim","Não","Feminino","Rural"
2612,46,1300.36,1600,1,"Não","Não","Sim","Feminino","Urbana"
2613,43,878.4,1000,3,"Sim","Não","Sim","Feminino","Urbana"
2614,67,2921.26,3100,2,"Não","Não","Sim","Feminino","Urbana"
2615,39,686.63,900,1,"Sim","Não","Sim","Feminino","Urbana"
2616,41,2767,3000,1,"Não","Não","Não","Feminino","Rural"
2617,30,1732,1900,4,"Não","Sim","Sim","Masculino","Rural"
2618,49,2185.33,2400,3,"Não","Não","Não","Masculino","Urbana"
2619,37,1256.49,1400,1,"Não","Sim","Sim","Feminino","Urbana"
2620,41,1548.06,1800,1,"Não","Sim","Sim","Feminino","Urbana"
2621,49,1153.84,1400,2,"Sim","Sim","Não","Feminino","Urbana"
2622,55,287.59,500,2,"Sim","Sim","Não","Masculino","Urbana"
2623,38,2431.34,2600,4,"Não","Sim","Sim","Masculino","Urbana"
2624,36,2939.96,3100,4,"Não","Não","Sim","Feminino","Urbana"
2625,42,848.95,1000,1,"Não","Não","Sim","Masculino","Urbana"
2626,52,1773.83,2000,1,"Não","Não","Sim","Feminino","Rural"
2627,41,1168.28,1300,4,"Sim","Sim","Não","Feminino","Urbana"
2628,42,1557.21,1600,0,"Sim","Não","Sim","Feminino","Urbana"
2629,48,1353.45,1500,2,"Não","Não","Sim","Feminino","Urbana"
2630,47,1684.6,2000,3,"Sim","Não","Não","Masculino","Rural"
2631,51,1598.44,1800,5,"Não","Não","Sim","Feminino","Rural"
2632,20,1707.5,1900,2,"Não","Não","Sim","Masculino","Rural"
2633,28,1456.49,1700,3,"Não","Não","Sim","Feminino","Urbana"
2634,28,2072.23,2200,4,"Não","Não","Sim","Feminino","Urbana"
2635,44,1588.29,1800,1,"Sim","Não","Sim","Feminino","Urbana"
2636,26,1814.71,2000,1,"Não","Não","Não","Feminino","Urbana"
2637,38,3210.62,3400,1,"Não","Não","Não","Masculino","Urbana"
2638,44,1570.8,1700,3,"Não","Não","Sim","Feminino","Urbana"
2639,59,1327.97,1500,3,"Não","Sim","Sim","Feminino","Urbana"
2640,38,1533.73,1700,0,"Sim","Sim","Sim","Masculino","Urbana"
2641,40,783.17,1100,0,"Não","Não","Não","Feminino","Urbana"
2642,42,2544.75,2800,1,"Não","Sim","Não","Feminino","Urbana"
2643,34,1552.49,1800,4,"Não","Não","Sim","Feminino","Urbana"
2644,8,1861.19,2100,3,"Sim","Não","Não","Feminino","Urbana"
2645,55,1593.59,1800,4,"Não","Não","Sim","Feminino","Urbana"
2646,37,1439.18,1600,2,"Sim","Sim","Sim","Feminino","Rural"
2647,33,1312.14,1500,2,"Não","Não","Sim","Masculino","Urbana"
2648,43,1151.65,1400,0,"Não","Não","Sim","Masculino","Urbana"
2649,34,3029.56,3200,0,"Não","Não","Sim","Feminino","Urbana"
2650,49,960.04,1100,7,"Sim","Não","Não","Masculino","Urbana"
2651,35,2239.05,2400,4,"Não","Não","Sim","Masculino","Rural"
2652,49,1512.03,1700,3,"Sim","Sim","Sim","Feminino","Rural"
2653,38,554.27,800,2,"Sim","Não","Não","Feminino","Urbana"
2654,30,1955.84,2200,2,"Não","Não","Sim","Feminino","Rural"
2655,47,1618.65,1800,1,"Sim","Sim","Não","Feminino","Urbana"
2656,64,900.7,1100,1,"Não","Não","Sim","Feminino","Rural"
2657,30,1681.31,1800,0,"Não","Não","Sim","Feminino","Urbana"
2658,36,1973.31,2100,2,"Não","Não","Sim","Feminino","Urbana"
2659,28,2324.23,2500,1,"Sim","Não","Sim","Masculino","Urbana"
2660,56,647.37,900,5,"Sim","Não","Não","Feminino","Urbana"
